Row,PAamp,PBamp,PCamp,PDamp,PFamp,PAr10,PAr20,PAr30,PAr40,PAr50,PAr60,PAr70,PAr80,PAr90,PAr95,PAr100,PAf95,PAf90,PAf80,PAf40,PAf20,PBr10,PBr20,PBr30,PBr40,PBr50,PBr60,PBr70,PBr80,PBr90,PBr95,PBr100,PBf95,PBf90,PBf80,PBf40,PBf20,PCr10,PCr20,PCr30,PCr40,PCr50,PCr60,PCr70,PCr80,PCr90,PCr95,PCr100,PCf95,PCf90,PCf80,PCf40,PCf20,PDr10,PDr20,PDr30,PDr40,PDr50,PDr60,PDr70,PDr80,PDr90,PDr95,PDr100,PDf95,PDf90,PDf80,PDf40,PDf20,PFr10,PFr20,PFr30,PFr40,PFr50,PFr60,PFr70,PFr80,PFr90,PFr95,PFr100,PFf95,PFf90,PFf80,PFf40,PFf20,y
1195,1.65e-07,1.882e-07,2.557e-07,6.147e-07,3.736e-07,-7.98e-06,0,7.032e-06,1.369e-05,2.106e-05,2.931e-05,3.867e-05,4.941e-05,6.855e-05,8.195e-05,0.0001259,0.000171,0.0001963,0.000251,0.0004988,0.0007394,-6.33e-06,3.369e-06,1.274e-05,2.073e-05,2.989e-05,3.997e-05,5.187e-05,6.517e-05,8.844e-05,0.0001044,0.0001619,0.0002203,0.0002672,0.0003302,0.0006595,0.0009581,-1.52e-06,1.045e-05,2.08e-05,3.138e-05,4.347e-05,5.758e-05,7.401e-05,9.572e-05,0.0001222,0.0001425,0.0001819,0.0002804,0.0003296,0.0004031,0.0007218,0.0010795,-2.31e-05,-1.73e-05,-1.22e-05,-7.19e-06,-1.92e-06,3.896e-06,1.091e-05,2.052e-05,3.503e-05,4.644e-05,8.033e-05,0.000148,0.000181,0.0002554,0.0005853,0.0009053,-3.41e-05,-2.98e-05,-2.61e-05,-2.26e-05,-1.89e-05,-1.47e-05,-9.74e-06,-2.94e-06,7.637e-06,1.641e-05,4.673e-05,8.793e-05,0.000116,0.0001692,0.0004705,0.0007739,-12.502
1651,1.656e-07,1.704e-07,2.145e-07,4.992e-07,3.19e-07,-8.22e-06,0,7.102e-06,1.357e-05,2.051e-05,2.827e-05,3.715e-05,4.917e-05,6.584e-05,8.072e-05,0.0001164,0.0001751,0.0002062,0.0002606,0.0005054,0.0007516,-6.57e-06,3.375e-06,1.135e-05,1.947e-05,2.801e-05,3.738e-05,4.932e-05,6.205e-05,8.742e-05,0.0001062,0.0001468,0.000209,0.0002591,0.0003229,0.0006619,0.0009723,-1.73e-06,1.145e-05,2.342e-05,3.503e-05,4.728e-05,5.912e-05,7.448e-05,9.62e-05,0.0001212,0.0001474,0.0002084,0.0002757,0.0003177,0.0004022,0.0007422,0.0010769,-2.26e-05,-1.65e-05,-1.14e-05,-6.3e-06,-5.54e-07,5.95e-06,1.409e-05,2.359e-05,3.874e-05,5.119e-05,9.805e-05,0.0001533,0.0001909,0.0002621,0.000621,0.0009796,-3.28e-05,-2.85e-05,-2.48e-05,-2.11e-05,-1.72e-05,-1.27e-05,-7.05e-06,6.658e-07,1.262e-05,2.271e-05,5.405e-05,0.0001012,0.0001323,0.0001913,0.0005062,0.0008204,-12.502
1887,1.314e-07,1.504e-07,2.028e-07,5.105e-07,3.186e-07,-8.17e-06,0,7.125e-06,1.388e-05,2.124e-05,2.977e-05,3.909e-05,5.094e-05,6.738e-05,8.046e-05,0.0001132,0.0001703,0.0002023,0.0002478,0.0005069,0.0007566,-6.19e-06,3.67e-06,1.364e-05,2.213e-05,3.073e-05,4.076e-05,5.276e-05,6.788e-05,9.125e-05,0.0001107,0.0001716,0.000211,0.0002614,0.0003299,0.0006494,0.0009698,3.488e-06,1.381e-05,2.494e-05,3.607e-05,4.667e-05,5.997e-05,7.632e-05,9.769e-05,0.000122,0.0001471,0.00019,0.0002926,0.0003212,0.0004039,0.0007481,0.0010666,-2.28e-05,-1.71e-05,-1.22e-05,-7.35e-06,-2.29e-06,3.55e-06,1.046e-05,1.998e-05,3.284e-05,4.369e-05,8.209e-05,0.0001383,0.0001676,0.0002379,0.0005707,0.0008952,-3.28e-05,-2.86e-05,-2.5e-05,-2.16e-05,-1.8e-05,-1.42e-05,-9.62e-06,-3.5e-06,6.098e-06,1.373e-05,4.129e-05,7.709e-05,0.0001033,0.000152,0.0004462,0.0007555,-12.502
1914,1.617e-07,1.403e-07,1.74e-07,2.147e-07,2.457e-07,-8.99e-06,0,7.834e-06,1.498e-05,2.231e-05,3.071e-05,4.061e-05,5.348e-05,7.24e-05,8.598e-05,0.000129,0.0001772,0.00021,0.000262,0.0004968,0.0007162,-2.6e-06,8.713e-06,1.848e-05,2.93e-05,3.863e-05,5.026e-05,6.297e-05,7.951e-05,9.89e-05,0.0001153,0.0001706,0.0002399,0.0002681,0.0003343,0.0006293,0.0009503,4.549e-07,1.4e-05,2.451e-05,3.706e-05,5.158e-05,6.307e-05,7.791e-05,9.763e-05,0.0001251,0.0001488,0.0002434,0.0002831,0.0003234,0.0004061,0.0007197,0.0010123,-1.11e-05,-8.83e-07,8.161e-06,1.819e-05,2.869e-05,3.952e-05,5.462e-05,7.047e-05,0.0001002,0.0001228,0.0001618,0.0002584,0.0003023,0.000371,0.0007278,0.001079,-2.96e-05,-2.46e-05,-2.02e-05,-1.61e-05,-1.17e-05,-6.67e-06,-4.03e-07,7.614e-06,2.02e-05,3.06e-05,6.348e-05,0.000117,0.000151,0.0002147,0.0005371,0.0008526,-12.502
2217,1.299e-07,1.285e-07,1.599e-07,3.822e-07,2.558e-07,-8.33e-06,0,7.085e-06,1.388e-05,2.135e-05,2.895e-05,3.733e-05,4.926e-05,6.579e-05,8.022e-05,0.0001298,0.0001736,0.0002057,0.0002573,0.0004928,0.0007049,-5.6e-06,3.132e-06,1.117e-05,1.918e-05,2.768e-05,3.699e-05,4.925e-05,6.4e-05,8.383e-05,0.0001015,0.0001634,0.0002191,0.0002541,0.000327,0.0006182,0.000943,8.188e-07,1.377e-05,2.571e-05,3.571e-05,4.943e-05,6.253e-05,7.644e-05,9.634e-05,0.0001275,0.0001557,0.0002122,0.0002891,0.0003257,0.0003929,0.000719,0.001055,-2.24e-05,-1.63e-05,-1.11e-05,-5.87e-06,-3.03e-07,6.032e-06,1.376e-05,2.389e-05,3.911e-05,5.272e-05,9.304e-05,0.0001478,0.000187,0.000257,0.0006037,0.0009328,-3.24e-05,-2.77e-05,-2.39e-05,-2.01e-05,-1.62e-05,-1.17e-05,-6.08e-06,1.483e-06,1.249e-05,2.195e-05,5.064e-05,9.093e-05,0.0001171,0.000174,0.0004738,0.0007763,-12.502
2552,1.291e-07,1.493e-07,2.014e-07,5.211e-07,3.134e-07,-8.01e-06,0,7.021e-06,1.38e-05,2.073e-05,2.88e-05,3.803e-05,4.916e-05,6.686e-05,8.017e-05,0.0001212,0.0001714,0.0001975,0.0002578,0.0005009,0.0007245,-3.69e-06,4.956e-06,1.308e-05,2.131e-05,3.024e-05,4.15e-05,5.43e-05,6.954e-05,9.042e-05,0.0001076,0.0001572,0.0002123,0.0002579,0.0003228,0.000622,0.0009117,-1.04e-06,1.241e-05,2.562e-05,3.707e-05,4.642e-05,6.155e-05,8.25e-05,9.893e-05,0.0001271,0.0001463,0.0002012,0.0002775,0.000322,0.0004023,0.0007336,0.0010613,-2.34e-05,-1.76e-05,-1.28e-05,-8.12e-06,-3.08e-06,2.585e-06,9.199e-06,1.758e-05,3.118e-05,4.187e-05,7.722e-05,0.0001364,0.000169,0.0002329,0.0005562,0.0008738,-3.29e-05,-2.85e-05,-2.49e-05,-2.15e-05,-1.8e-05,-1.4e-05,-9.42e-06,-3.33e-06,6.274e-06,1.47e-05,3.802e-05,7.587e-05,9.821e-05,0.0001455,0.0004435,0.0007258,-12.502
3152,1.695e-07,1.81e-07,2.347e-07,5.201e-07,3.59e-07,-8.21e-06,0,7.473e-06,1.462e-05,2.151e-05,2.928e-05,3.926e-05,5.115e-05,6.807e-05,7.913e-05,0.0001192,0.0001698,0.0002007,0.0002551,0.0004945,0.0007273,-7.48e-06,3.59e-06,1.243e-05,2.031e-05,2.931e-05,3.941e-05,5.173e-05,6.707e-05,8.904e-05,0.0001097,0.0001688,0.0002265,0.0002572,0.0003281,0.0006451,0.000967,-1.03e-07,1.188e-05,2.332e-05,3.355e-05,4.587e-05,5.937e-05,7.311e-05,9.47e-05,0.000125,0.0001452,0.00018,0.0002893,0.0003257,0.0004045,0.0007334,0.0010867,-2.29e-05,-1.65e-05,-1.1e-05,-5.68e-06,2.009e-07,6.762e-06,1.44e-05,2.464e-05,4.012e-05,5.403e-05,0.000104,0.0001645,0.0002054,0.0002796,0.0006233,0.0009505,-3.41e-05,-2.97e-05,-2.61e-05,-2.24e-05,-1.86e-05,-1.43e-05,-9.05e-06,-1.68e-06,1.018e-05,1.96e-05,5.287e-05,9.277e-05,0.0001182,0.0001716,0.0004768,0.0007843,-12.502
3583,1.597e-07,2.054e-07,3.163e-07,6.882e-07,4.471e-07,-8.44e-06,0,7.193e-06,1.445e-05,2.159e-05,2.928e-05,3.964e-05,5.155e-05,6.894e-05,8.135e-05,0.0001239,0.0001765,0.000209,0.000255,0.0005145,0.0007415,-6.89e-06,4.019e-06,1.286e-05,2.281e-05,3.267e-05,4.215e-05,5.335e-05,6.719e-05,8.958e-05,0.0001085,0.0001775,0.0002402,0.0002762,0.0003455,0.0006495,0.0009476,-2.24e-06,1.075e-05,2.442e-05,3.531e-05,4.584e-05,5.829e-05,7.235e-05,9.248e-05,0.0001268,0.0001654,0.0001983,0.0002676,0.0003193,0.0003766,0.0006952,0.0010404,-2.28e-05,-1.72e-05,-1.23e-05,-7.58e-06,-2.51e-06,3.18e-06,9.933e-06,1.907e-05,3.307e-05,4.382e-05,7.991e-05,0.0001447,0.0001826,0.0002514,0.0005724,0.0008917,-3.42e-05,-3.01e-05,-2.67e-05,-2.35e-05,-2.02e-05,-1.67e-05,-1.25e-05,-7.1e-06,1.288e-06,8.775e-06,3.351e-05,7.077e-05,9.253e-05,0.0001373,0.0004159,0.0007172,-12.502
3945,1.684e-07,1.878e-07,2.426e-07,5.966e-07,3.698e-07,-8.6e-06,0,6.994e-06,1.432e-05,2.188e-05,2.978e-05,3.838e-05,5.045e-05,6.624e-05,7.948e-05,0.0001271,0.0001721,0.0002033,0.0002544,0.0004888,0.000746,-6.91e-06,4.435e-06,1.27e-05,2.1e-05,2.951e-05,3.977e-05,5.127e-05,6.599e-05,8.653e-05,0.0001014,0.0001367,0.0002276,0.0002655,0.0003288,0.0006507,0.0015923,-9.88e-07,1.23e-05,2.387e-05,3.38e-05,4.598e-05,5.976e-05,7.435e-05,9.864e-05,0.0001273,0.0001618,0.0002127,0.000286,0.0003138,0.0003937,0.0007313,0.0017197,-2.26e-05,-1.65e-05,-1.13e-05,-6.33e-06,-8.04e-07,5.466e-06,1.293e-05,2.306e-05,3.668e-05,5.06e-05,8.319e-05,0.0001464,0.0001864,0.0002607,0.0005998,0.0015805,-3.34e-05,-2.89e-05,-2.52e-05,-2.17e-05,-1.79e-05,-1.35e-05,-8.35e-06,-1.34e-06,1.05e-05,1.992e-05,4.879e-05,9.311e-05,0.000118,0.0001749,0.0004773,0.0014129,-12.502
4380,1.259e-07,1.5e-07,2.074e-07,5.045e-07,3.371e-07,-8.73e-06,0,7.316e-06,1.416e-05,2.093e-05,2.942e-05,3.958e-05,5.109e-05,6.64e-05,7.949e-05,0.0001111,0.0001655,0.0002077,0.0002538,0.0005003,0.0007462,-4.63e-06,4.852e-06,1.372e-05,2.18e-05,3.166e-05,4.186e-05,5.324e-05,6.866e-05,9.255e-05,0.000108,0.0001615,0.000229,0.0002667,0.0003387,0.0006534,0.0009413,6.718e-07,1.299e-05,2.41e-05,3.58e-05,4.849e-05,5.988e-05,7.808e-05,9.797e-05,0.0001253,0.0001551,0.0001935,0.0002723,0.0003194,0.0003986,0.0006971,0.000943,-2.29e-05,-1.7e-05,-1.19e-05,-6.92e-06,-1.77e-06,3.766e-06,1.055e-05,1.922e-05,3.309e-05,4.413e-05,7.439e-05,0.0001388,0.0001792,0.0002463,0.0005683,0.0008861,-3.35e-05,-2.94e-05,-2.59e-05,-2.27e-05,-1.94e-05,-1.58e-05,-1.16e-05,-6.14e-06,2.431e-06,9.798e-06,3.519e-05,6.526e-05,8.548e-05,0.000127,0.0004139,0.0007037,-12.502
4808,1.353e-07,1.497e-07,1.935e-07,4.854e-07,3.108e-07,-8.56e-06,0,6.92e-06,1.362e-05,2.179e-05,2.967e-05,3.848e-05,4.992e-05,6.956e-05,8.377e-05,0.0001195,0.0001714,0.0002,0.0002541,0.000496,0.0007302,-5.45e-06,3.626e-06,1.224e-05,2.014e-05,2.96e-05,4.089e-05,5.313e-05,6.787e-05,9.132e-05,0.0001072,0.0001603,0.0002233,0.0002574,0.0003279,0.0006497,0.0009456,-1.62e-06,1.129e-05,2.481e-05,3.72e-05,5.065e-05,6.428e-05,8.059e-05,9.823e-05,0.0001282,0.0001506,0.0002195,0.0002843,0.0003232,0.0003935,0.0007166,0.001049,-2.33e-05,-1.73e-05,-1.21e-05,-7.17e-06,-2.02e-06,3.9e-06,1.121e-05,2.027e-05,3.439e-05,4.48e-05,7.957e-05,0.0001437,0.0001791,0.0002495,0.0005879,0.0009016,-3.31e-05,-2.88e-05,-2.52e-05,-2.17e-05,-1.8e-05,-1.4e-05,-9.28e-06,-3.04e-06,6.903e-06,1.596e-05,4.677e-05,8.03e-05,0.0001068,0.000158,0.000455,0.0007658,-12.502
4875,1.694e-07,1.725e-07,2.221e-07,4.863e-07,3.334e-07,-8.27e-06,0,7.013e-06,1.365e-05,2.053e-05,2.856e-05,3.767e-05,4.938e-05,6.707e-05,7.867e-05,0.0001259,0.0001744,0.0002023,0.0002548,0.0004974,0.000729,-7.01e-06,3.482e-06,1.216e-05,1.98e-05,2.772e-05,3.712e-05,5.011e-05,6.496e-05,8.824e-05,0.0001061,0.0001699,0.0002232,0.0002606,0.0003339,0.0006415,0.0009573,-1.03e-06,1.232e-05,2.361e-05,3.453e-05,4.726e-05,5.974e-05,7.728e-05,9.47e-05,0.0001202,0.0001479,0.0002259,0.0002801,0.0003294,0.0004006,0.0007295,0.0010717,-2.29e-05,-1.64e-05,-1.09e-05,-5.38e-06,5.544e-07,7.684e-06,1.599e-05,2.625e-05,4.308e-05,5.627e-05,0.0001011,0.0001668,0.0002049,0.0002765,0.0006304,0.0009736,-3.33e-05,-2.9e-05,-2.53e-05,-2.17e-05,-1.79e-05,-1.34e-05,-7.83e-06,-4.48e-09,1.177e-05,2.225e-05,5.791e-05,9.671e-05,0.0001247,0.00018,0.0004922,0.0007983,-12.502
5501,1.62e-07,1.848e-07,2.497e-07,5.989e-07,3.791e-07,-8.25e-06,0,6.673e-06,1.299e-05,2.027e-05,2.877e-05,3.857e-05,5.141e-05,6.568e-05,7.849e-05,0.0001205,0.0001749,0.0002037,0.0002595,0.0005051,0.0007535,-7.19e-06,4.009e-06,1.304e-05,2.278e-05,3.176e-05,4.13e-05,5.275e-05,6.686e-05,8.916e-05,0.0001086,0.0001717,0.0002333,0.0002746,0.0003335,0.0006447,0.0009648,-4.25e-07,1.413e-05,2.5e-05,3.656e-05,4.889e-05,6.244e-05,7.727e-05,9.742e-05,0.000134,0.0001551,0.0002021,0.0002764,0.0003125,0.0003924,0.0007458,0.0010522,-2.33e-05,-1.73e-05,-1.21e-05,-7.03e-06,-1.69e-06,4.275e-06,1.18e-05,2.144e-05,3.689e-05,5.017e-05,8.852e-05,0.0001427,0.0001847,0.0002554,0.0005927,0.0009257,-3.33e-05,-2.91e-05,-2.56e-05,-2.22e-05,-1.87e-05,-1.47e-05,-1e-05,-3.66e-06,7.246e-06,1.617e-05,4.292e-05,8.219e-05,0.0001097,0.0001612,0.0004616,0.0007641,-12.502
